# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.duration,1788311337172000000,1788311390695000000,68
cacheStateStorage.set.counter,1788311337172000000,1788311390695000000,7
cacheStateStorage.get.counter,1788311337172000000,1788311390695000000,24
cacheStateStorage.get.duration,1788311337172000000,1788311390695000000,876
NonBlockingReadAction.finalizedExecutionsCount,1788311337172000000,1788311390695000000,290
AWTEventQueue.dispatchTimeTotalNS,1788311337172000000,1788311390695000000,16491875358
NonBlockingReadAction.failedExecutionsCount,1788311337172000000,1788311390695000000,35
NonBlockingReadAction.failedExecutionTimeUs,1788311337172000000,1788311390695000000,3679049
NonBlockingReadAction.finalizedExecutionTimeUs,1788311337172000000,1788311390695000000,7483778
writeAction.median.wait.ms,1788311337172000000,1788311390695000000,100
parser.JAVA.size.bytes,1788311337172000000,1788311390695000000,1361
writeAction.max.wait.ms,1788311337172000000,1788311390695000000,234
parser.IgnoreLang.time.ns,1788311337172000000,1788311390695000000,1511006
parser.IgnoreLang.size.bytes,1788311337172000000,1788311390695000000,0
writeAction.wait.ms,1788311337172000000,1788311390695000000,701
lexer.IgnoreLang.size.bytes,1788311337172000000,1788311390695000000,0
lexer.JAVA.size.bytes,1788311337172000000,1788311390695000000,1361
parser.JAVA.time.ns,1788311337172000000,1788311390695000000,86290615
lexer.IgnoreLang.time.ns,1788311337172000000,1788311390695000000,18480
lexer.JAVA.time.ns,1788311337172000000,1788311390695000000,3713759
writeAction.count,1788311337172000000,1788311390695000000,32
Indexes.entries.lookupDuration90PMs,1788311337172000000,1788311390695000000,0.0
Indexes.entries.lookups,1788311337172000000,1788311390695000000,0.0
Indexes.allKeys.lookups,1788311337172000000,1788311390695000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1788311337172000000,1788311390695000000,0.0
Indexes.stubs.lookupDurationMaxMs,1788311337172000000,1788311390695000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1788311337172000000,1788311390695000000,0.0
Indexes.stubs.lookupDuration90PMs,1788311337172000000,1788311390695000000,0.0
Indexes.stubs.lookups,1788311337172000000,1788311390695000000,0.0
Indexes.entries.lookupDurationAvgMs,1788311337172000000,1788311390695000000,0.0
Indexes.entries.lookupDurationMaxMs,1788311337172000000,1788311390695000000,0.0
Indexes.stubs.lookupDurationAvgMs,1788311337172000000,1788311390695000000,0.0
Indexes.allKeys.lookupDuration90PMs,1788311337172000000,1788311390695000000,0.0
compiler.ArtifactManagerBridge.dropMappings.ms,1788311337172000000,1788311390695000000,0
compiler.ArtifactManagerBridge.commit.ms,1788311337172000000,1788311390695000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1788311337172000000,1788311390695000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1788311337172000000,1788311390695000000,2
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1788311337172000000,1788311390695000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1788311337172000000,1788311390695000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1788311337172000000,1788311390695000000,1
compiler.ArtifactManagerBridge.getArtifacts.ms,1788311337172000000,1788311390695000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1788311337172000000,1788311390695000000,0
JVM.GC.collectionTimesMs,1788311337172000000,1788311390695000000,392
