# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.duration,1787280898470000000,1787280922482000000,1514
cacheStateStorage.get.counter,1787280898470000000,1787280922482000000,31
cacheStateStorage.set.counter,1787280898470000000,1787280922482000000,7
cacheStateStorage.set.duration,1787280898470000000,1787280922482000000,139
NonBlockingReadAction.finalizedExecutionsCount,1787280898470000000,1787280922482000000,29
NonBlockingReadAction.finalizedExecutionTimeUs,1787280898470000000,1787280922482000000,1877080
AWTEventQueue.dispatchTimeTotalNS,1787280898470000000,1787280922482000000,12752202245
NonBlockingReadAction.failedExecutionTimeUs,1787280898470000000,1787280922482000000,0
NonBlockingReadAction.failedExecutionsCount,1787280898470000000,1787280922482000000,0
Indexes.entries.lookups,1787280898470000000,1787280922482000000,7.0
Indexes.stubs.lookupDurationMaxMs,1787280898470000000,1787280922482000000,214.0
Indexes.allKeys.lookupDuration90PMs,1787280898470000000,1787280922482000000,0.0
Indexes.entries.lookupDurationAvgMs,1787280898470000000,1787280922482000000,6.428571428571429
Indexes.allKeys.lookupDurationAvgMs,1787280898470000000,1787280922482000000,0.0
Indexes.entries.lookupDuration90PMs,1787280898470000000,1787280922482000000,14.0
Indexes.allKeys.lookupDurationMaxMs,1787280898470000000,1787280922482000000,0.0
Indexes.stubs.lookupDuration90PMs,1787280898470000000,1787280922482000000,11.0
Indexes.stubs.lookups,1787280898470000000,1787280922482000000,181.0
Indexes.allKeys.lookups,1787280898470000000,1787280922482000000,0.0
Indexes.stubs.lookupDurationAvgMs,1787280898470000000,1787280922482000000,7.292817679558011
Indexes.entries.lookupDurationMaxMs,1787280898470000000,1787280922482000000,14.0
VFS.fileByIdCache.hits,1787280898470000000,1787280922482000000,0
VFS.fileByIdCache.misses,1787280898470000000,1787280922482000000,40
VFS.invertedFileNameIndex.requests,1787280898470000000,1787280922482000000,10
VFS.fileChildByName,1787280898470000000,1787280922482000000,2617
