# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
MappedFileStorage.totalTimeSpentOnMappingUs,1787283865566000000,1787283925660000000,23466
DirectByteBufferAllocator.reclaimed,1787283865566000000,1787283925660000000,3
FilePageCacheLockFree.totalNativeBytesReclaimed,1787283865566000000,1787283925660000000,0
MappedFileStorage.totalBytesMapped,1787283865566000000,1787283925660000000,202637312
FileChannelInterruptsRetryer.totalRetriedAttempts,1787283865566000000,1787283925660000000,0
FilePageCacheLockFree.heapBytesInUse,1787283865566000000,1787283925660000000,0
FilePageCacheLockFree.nativeBytesInUse,1787283865566000000,1787283925660000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1787283865566000000,1787283925660000000,454004
FilePageCacheLockFree.housekeeperTurnsSkipped,1787283865566000000,1787283925660000000,0
FilePageCacheLockFree.totalBytesRead,1787283865566000000,1787283925660000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1787283865566000000,1787283925660000000,0
FilePageCacheLockFree.totalPagesRequested,1787283865566000000,1787283925660000000,0
DirectByteBufferAllocator.misses,1787283865566000000,1787283925660000000,236
FilePageCacheLockFree.totalPagesHandedOver,1787283865566000000,1787283925660000000,0
FilePageCache.totalPageDisposalsUs,1787283865566000000,1787283925660000000,3491
StorageLockContext.competingThreads.90P,1787283865566000000,1787283925660000000,0
FilePageCacheLockFree.totalPagesReadMs,1787283865566000000,1787283925660000000,0
FilePageCache.capacityInBytes,1787283865566000000,1787283925660000000,503316478
StreamlinedBlobStorage.recordsDeleted,1787283865566000000,1787283925660000000,24
FilePageCacheLockFree.totalClosedStoragesReclaimed,1787283865566000000,1787283925660000000,0
DirectByteBufferAllocator.hits,1787283865566000000,1787283925660000000,3
StreamlinedBlobStorage.recordsRelocated,1787283865566000000,1787283925660000000,0
FilePageCacheLockFree.totalPagesWritten,1787283865566000000,1787283925660000000,0
FilePageCacheLockFree.totalBytesRequested,1787283865566000000,1787283925660000000,0
FilePageCache.uncachedFileAccess,1787283865566000000,1787283925660000000,133
FilePageCache.pageLoadsAboveSizeThreshold,1787283865566000000,1787283925660000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1787283865566000000,1787283925660000000,0
MappedFileStorage.storages,1787283865566000000,1787283925660000000,16
FilePageCache.totalPageLoadsUs,1787283865566000000,1787283925660000000,1392989
FilePageCache.maxRegisteredFiles,1787283865566000000,1787283925660000000,555
FilePageCacheLockFree.housekeeperTurnsDone,1787283865566000000,1787283925660000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1787283865566000000,1787283925660000000,0
MappedFileStorage.totalPagesMapped,1787283865566000000,1787283925660000000,16
FilePageCache.disposedBuffers,1787283865566000000,1787283925660000000,3
FilePageCacheLockFree.totalHeapBytesReclaimed,1787283865566000000,1787283925660000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1787283865566000000,1787283925660000000,245383168
DirectByteBufferAllocator.disposed,1787283865566000000,1787283925660000000,0
FilePageCacheLockFree.totalPagesAllocated,1787283865566000000,1787283925660000000,0
StreamlinedBlobStorage.recordsAllocated,1787283865566000000,1787283925660000000,32056
FilePageCache.pageLoads,1787283865566000000,1787283925660000000,239
FilePageCacheLockFree.totalPagesRequestsMs,1787283865566000000,1787283925660000000,0
FilePageCacheLockFree.totalBytesWritten,1787283865566000000,1787283925660000000,0
StorageLockContext.competingThreads.max,1787283865566000000,1787283925660000000,0
FilePageCache.pageFastCacheHits,1787283865566000000,1787283925660000000,5105
FilePageCacheLockFree.housekeeperTimeSpentMs,1787283865566000000,1787283925660000000,0
FilePageCacheLockFree.totalPagesWriteMs,1787283865566000000,1787283925660000000,0
FilePageCache.pageHits,1787283865566000000,1787283925660000000,0
StorageLockContext.competingThreads.avg,1787283865566000000,1787283925660000000,0.0
FilePageCacheLockFree.totalPagesReclaimed,1787283865566000000,1787283925660000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1787283865566000000,1787283925660000000,2292446
FilePageCache.maxCacheSizeInBytes,1787283865566000000,1787283925660000000,245383168
FilePageCacheLockFree.totalHeapBytesAllocated,1787283865566000000,1787283925660000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1787283865566000000,1787283925660000000,1
compiler.ArtifactManagerBridge.commit.ms,1787283865566000000,1787283925660000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1787283865566000000,1787283925660000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1787283865566000000,1787283925660000000,3
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1787283865566000000,1787283925660000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1787283865566000000,1787283925660000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1787283865566000000,1787283925660000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1787283865566000000,1787283925660000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1787283865566000000,1787283925660000000,0
JVM.newThreadsCount,1787283865566000000,1787283925660000000,183
JVM.usedHeapBytes,1787283865566000000,1787283925660000000,341126144
JVM.maxThreadCount,1787283865566000000,1787283925660000000,170
JVM.maxHeapBytes,1787283865566000000,1787283925660000000,2147483648
JVM.totalCpuTimeMs,1787283865566000000,1787283925660000000,99080
JVM.GC.collections,1787283865566000000,1787283925660000000,25
JVM.usedNativeBytes,1787283865566000000,1787283925660000000,326840008
