# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.counter,1787281479659000000,1787281508979000000,5
cacheStateStorage.set.duration,1787281479659000000,1787281508979000000,22
cacheStateStorage.get.counter,1787281479659000000,1787281508979000000,26
cacheStateStorage.get.duration,1787281479659000000,1787281508979000000,877
JVM.maxThreadCount,1787281479659000000,1787281508979000000,118
JVM.usedHeapBytes,1787281479659000000,1787281508979000000,284669952
JVM.GC.collections,1787281479659000000,1787281508979000000,20
JVM.totalCpuTimeMs,1787281479659000000,1787281508979000000,85260
JVM.maxHeapBytes,1787281479659000000,1787281508979000000,2147483648
JVM.newThreadsCount,1787281479659000000,1787281508979000000,132
JVM.totalDirectByteBuffersBytes,1787281479659000000,1787281508979000000,44352366
JVM.usedNativeBytes,1787281479659000000,1787281508979000000,301556520
JVM.totalBytesAllocated,1787281479659000000,1787281508979000000,1084016592
JVM.threadCount,1787281479659000000,1787281508979000000,104
OS.loadAverage,1787281479659000000,1787281508979000000,3.00390625
JVM.GC.collectionTimesMs,1787281479659000000,1787281508979000000,349
workspaceModel.updates.precise.ms,1787281479659000000,1787281508979000000,20
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1787281479659000000,1787281508979000000,54
workspaceModel.initializing.ms,1787281479659000000,1787281508979000000,3
workspaceModel.workspaceFileIndexData.init.ms,1787281479659000000,1787281508979000000,157
workspaceModel.updates.count,1787281479659000000,1787281508979000000,3
workspaceModel.cachedValueWithParameters.from.cache.ms,1787281479659000000,1787281508979000000,0
workspaceModel.cachedValue.calculated.ms,1787281479659000000,1787281508979000000,35
workspaceModel.workspaceFileIndexData.markDirty.ms,1787281479659000000,1787281508979000000,0
workspaceModel.cachedValue.total.get.ms,1787281479659000000,1787281508979000000,37
workspaceModel.pre.handlers.ms,1787281479659000000,1787281508979000000,0
workspaceModel.replace.project.model.ms,1787281479659000000,1787281508979000000,0
workspaceModel.cachedValue.from.cache.ms,1787281479659000000,1787281508979000000,2
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1787281479659000000,1787281508979000000,0
workspaceModel.updates.ms,1787281479659000000,1787281508979000000,117
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1787281479659000000,1787281508979000000,1
workspaceModel.cachedValueWithParameters.total.get.ms,1787281479659000000,1787281508979000000,0
workspaceModel.workspaceFileIndexData.instances.count,1787281479659000000,1787281508979000000,1
workspaceModel.loading.total.ms,1787281479659000000,1787281508979000000,585
workspaceModel.to.snapshot.ms,1787281479659000000,1787281508979000000,0
workspaceModel.cachedValueWithParameters.clear.ms,1787281479659000000,1787281508979000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1787281479659000000,1787281508979000000,0
workspaceModel.update.unloaded.entities.ms,1787281479659000000,1787281508979000000,0
workspaceModel.cachedValueWithParameters.calculated.ms,1787281479659000000,1787281508979000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1787281479659000000,1787281508979000000,0
workspaceModel.full.replace.project.model.ms,1787281479659000000,1787281508979000000,6
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1787281479659000000,1787281508979000000,226
workspaceModel.workspaceFileIndexData.getPackageName.ms,1787281479659000000,1787281508979000000,6
workspaceModel.entityStorageSnapshotImpl.instances.count,1787281479659000000,1787281508979000000,19
workspaceModel.cachedValue.clear.ms,1787281479659000000,1787281508979000000,0
workspaceModel.check.recursive.update.ms,1787281479659000000,1787281508979000000,1
workspaceModel.init.bridges.ms,1787281479659000000,1787281508979000000,3
workspaceModel.collect.changes.ms,1787281479659000000,1787281508979000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1787281479659000000,1787281508979000000,373
workspaceModel.loading.from.cache.ms,1787281479659000000,1787281508979000000,525
FilePageCache.uncachedFileAccess,1787281479659000000,1787281508979000000,134
FilePageCacheLockFree.totalBytesRead,1787281479659000000,1787281508979000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1787281479659000000,1787281508979000000,41959424
StorageLockContext.competingThreads.90P,1787281479659000000,1787281508979000000,0
FilePageCache.pageLoads,1787281479659000000,1787281508979000000,237
FilePageCache.pageLoadsAboveSizeThreshold,1787281479659000000,1787281508979000000,0
FilePageCache.disposedBuffers,1787281479659000000,1787281508979000000,237
FilePageCacheLockFree.housekeeperTurnsDone,1787281479659000000,1787281508979000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1787281479659000000,1787281508979000000,0
StorageLockContext.competingThreads.max,1787281479659000000,1787281508979000000,0
FilePageCacheLockFree.totalPagesReadMs,1787281479659000000,1787281508979000000,0
FilePageCacheLockFree.totalBytesWritten,1787281479659000000,1787281508979000000,0
DirectByteBufferAllocator.hits,1787281479659000000,1787281508979000000,3
FilePageCacheLockFree.heapBytesInUse,1787281479659000000,1787281508979000000,0
FilePageCacheLockFree.totalPagesHandedOver,1787281479659000000,1787281508979000000,0
FilePageCache.capacityInBytes,1787281479659000000,1787281508979000000,503316478
FilePageCacheLockFree.totalPageAllocationsWaited,1787281479659000000,1787281508979000000,0
FilePageCacheLockFree.totalPagesReclaimed,1787281479659000000,1787281508979000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1787281479659000000,1787281508979000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1787281479659000000,1787281508979000000,0
FilePageCache.maxRegisteredFiles,1787281479659000000,1787281508979000000,555
FilePageCache.totalPageDisposalsUs,1787281479659000000,1787281508979000000,4416
DirectByteBufferAllocator.disposed,1787281479659000000,1787281508979000000,192
