# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
IndexesFlusher.totalFlushesRetried,1787320397896000000,1787320457913000000,2
IndexesFlusher.totalFlushes,1787320397896000000,1787320457913000000,117
Indexes.stubs.lookupDurationMaxMs,1787320397896000000,1787320457913000000,0.0
Indexes.entries.lookupDuration90PMs,1787320397896000000,1787320457913000000,32.0
Indexes.entries.lookupDurationAvgMs,1787320397896000000,1787320457913000000,7.0
IndexesFlusher.totalContentionQuotaSpent,1787320397896000000,1787320457913000000,50
Indexes.allKeys.lookupDuration90PMs,1787320397896000000,1787320457913000000,2.0
Indexes.allKeys.lookupDurationAvgMs,1787320397896000000,1787320457913000000,2.0
IndexesFlusher.totalFlushingTimeUs,1787320397896000000,1787320457913000000,477537
Indexes.stubs.lookupDuration90PMs,1787320397896000000,1787320457913000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1787320397896000000,1787320457913000000,2.0
Indexes.allKeys.lookups,1787320397896000000,1787320457913000000,1.0
Indexes.entries.lookupDurationMaxMs,1787320397896000000,1787320457913000000,32.0
Indexes.entries.lookups,1787320397896000000,1787320457913000000,8.0
Indexes.stubs.lookups,1787320397896000000,1787320457913000000,0.0
Indexes.stubs.lookupDurationAvgMs,1787320397896000000,1787320457913000000,0.0
workspaceModel.cachedValue.clear.ms,1787320397896000000,1787320457913000000,0
workspaceModel.cachedValueWithParameters.calculated.ms,1787320397896000000,1787320457913000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1787320397896000000,1787320457913000000,0
workspaceModel.full.replace.project.model.ms,1787320397896000000,1787320457913000000,4
workspaceModel.cachedValue.calculated.ms,1787320397896000000,1787320457913000000,3
workspaceModel.cachedValueWithParameters.clear.ms,1787320397896000000,1787320457913000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1787320397896000000,1787320457913000000,0
workspaceModel.initializing.ms,1787320397896000000,1787320457913000000,7
workspaceModel.workspaceFileIndexData.markDirty.ms,1787320397896000000,1787320457913000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1787320397896000000,1787320457913000000,15
workspaceModel.workspaceFileIndexData.getPackageName.ms,1787320397896000000,1787320457913000000,0
workspaceModel.cachedValue.from.cache.ms,1787320397896000000,1787320457913000000,0
workspaceModel.loading.total.ms,1787320397896000000,1787320457913000000,486
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1787320397896000000,1787320457913000000,3
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1787320397896000000,1787320457913000000,1
workspaceModel.workspaceFileIndexData.processFileSets.ms,1787320397896000000,1787320457913000000,0
workspaceModel.init.bridges.ms,1787320397896000000,1787320457913000000,7
workspaceModel.updates.ms,1787320397896000000,1787320457913000000,128
workspaceModel.update.unloaded.entities.ms,1787320397896000000,1787320457913000000,0
workspaceModel.updates.count,1787320397896000000,1787320457913000000,3
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1787320397896000000,1787320457913000000,19
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1787320397896000000,1787320457913000000,0
workspaceModel.replace.project.model.ms,1787320397896000000,1787320457913000000,0
workspaceModel.updates.precise.ms,1787320397896000000,1787320457913000000,12
workspaceModel.to.snapshot.ms,1787320397896000000,1787320457913000000,0
workspaceModel.collect.changes.ms,1787320397896000000,1787320457913000000,0
workspaceModel.workspaceFileIndexData.instances.count,1787320397896000000,1787320457913000000,1
workspaceModel.pre.handlers.ms,1787320397896000000,1787320457913000000,1
workspaceModel.loading.from.cache.ms,1787320397896000000,1787320457913000000,445
workspaceModel.workspaceFileIndexData.init.ms,1787320397896000000,1787320457913000000,19
workspaceModel.cachedValueWithParameters.from.cache.ms,1787320397896000000,1787320457913000000,0
workspaceModel.cachedValue.total.get.ms,1787320397896000000,1787320457913000000,3
workspaceModel.check.recursive.update.ms,1787320397896000000,1787320457913000000,1
workspaceModel.entityStorageSnapshotImpl.instances.count,1787320397896000000,1787320457913000000,20
AWTEventQueue.dispatchTimeTotalNS,1787320397896000000,1787320457913000000,12335945517
FlushQueue.waitingTime90PNs,1787320397896000000,1787320457913000000,671088639
FlushQueue.tasksExecuted,1787320397896000000,1787320457913000000,2050
AWTEventQueue.dispatchTimeAvgNs,1787320397896000000,1787320457913000000,3230775.668936616
FlushQueue.waitingTimeMaxNs,1787320397896000000,1787320457913000000,1585446911
NonBlockingReadAction.finalizedExecutionsCount,1787320397896000000,1787320457913000000,26
FlushQueue.executionTimeAvgNs,1787320397896000000,1787320457913000000,3069920.8409756096
FlushQueue.queueSizeMax,1787320397896000000,1787320457913000000,90
NonBlockingReadAction.failedExecutionTimeUs,1787320397896000000,1787320457913000000,0
FlushQueue.queueSize90P,1787320397896000000,1787320457913000000,61
AWTEventQueue.dispatchTime90PNs,1787320397896000000,1787320457913000000,2916351
FlushQueue.queueSizeAvg,1787320397896000000,1787320457913000000,17.40780487804878
WriteAction.executionsCount,1787320397896000000,1787320457913000000,12
NonBlockingReadAction.finalizedExecutionTimeUs,1787320397896000000,1787320457913000000,1884397
FlushQueue.waitingTimeAvgNs,1787320397896000000,1787320457913000000,1.619802160117073E8
NonBlockingReadAction.failedExecutionsCount,1787320397896000000,1787320457913000000,0
FlushQueue.executionTime90PNs,1787320397896000000,1787320457913000000,1720319
ReadAction.executionsCount,1787320397896000000,1787320457913000000,25251
