# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.executionTimeMaxNs,1787281069466000000,1787281129560000000,54271
FlushQueue.waitingTime90PNs,1787281069466000000,1787281129560000000,243711
AWTEventQueue.dispatchTimeMaxNs,1787281069466000000,1787281129560000000,2375679
AWTEventQueue.dispatchTime90PNs,1787281069466000000,1787281129560000000,2113535
NonBlockingReadAction.finalizedExecutionsCount,1787281069466000000,1787281129560000000,35
WriteAction.executionsCount,1787281069466000000,1787281129560000000,11
AWTEventQueue.dispatchTimeTotalNS,1787281069466000000,1787281129560000000,18441433822
FlushQueue.queueSizeMax,1787281069466000000,1787281129560000000,0
NonBlockingReadAction.failedExecutionTimeUs,1787281069466000000,1787281129560000000,0
FlushQueue.waitingTimeAvgNs,1787281069466000000,1787281129560000000,243200.0
AWTEventQueue.dispatchTimeAvgNs,1787281069466000000,1787281129560000000,1248153.6
FlushQueue.tasksExecuted,1787281069466000000,1787281129560000000,1
NonBlockingReadAction.failedExecutionsCount,1787281069466000000,1787281129560000000,0
FlushQueue.queueSizeAvg,1787281069466000000,1787281129560000000,0.0
NonBlockingReadAction.finalizedExecutionTimeUs,1787281069466000000,1787281129560000000,1750521
AWTEventQueue.eventsDispatched,1787281069466000000,1787281129560000000,10
FlushQueue.executionTime90PNs,1787281069466000000,1787281129560000000,54271
FlushQueue.executionTimeAvgNs,1787281069466000000,1787281129560000000,54144.0
FlushQueue.waitingTimeMaxNs,1787281069466000000,1787281129560000000,243711
FlushQueue.queueSize90P,1787281069466000000,1787281129560000000,0
ReadAction.executionsCount,1787281069466000000,1787281129560000000,102351
VFS.fileChildByName,1787281069466000000,1787281129560000000,3815
VFS.invertedFileNameIndex.requests,1787281069466000000,1787281129560000000,6
VFS.fileByIdCache.hits,1787281069466000000,1787281129560000000,0
FileNameCache.totalMisses,1787281069466000000,1787281129560000000,0
FileNameCache.queries,1787281069466000000,1787281129560000000,0
VFS.fileByIdCache.misses,1787281069466000000,1787281129560000000,34
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1787281069466000000,1787281129560000000,0
workspaceModel.workspaceFileIndexData.instances.count,1787281069466000000,1787281129560000000,1
workspaceModel.to.snapshot.ms,1787281069466000000,1787281129560000000,0
workspaceModel.loading.total.ms,1787281069466000000,1787281129560000000,602
workspaceModel.replace.project.model.ms,1787281069466000000,1787281129560000000,0
workspaceModel.cachedValueWithParameters.calculated.ms,1787281069466000000,1787281129560000000,0
workspaceModel.cachedValue.from.cache.ms,1787281069466000000,1787281129560000000,1
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1787281069466000000,1787281129560000000,2
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1787281069466000000,1787281129560000000,599
workspaceModel.init.bridges.ms,1787281069466000000,1787281129560000000,8
workspaceModel.full.replace.project.model.ms,1787281069466000000,1787281129560000000,9
workspaceModel.entityStorageSnapshotImpl.instances.count,1787281069466000000,1787281129560000000,19
workspaceModel.cachedValueWithParameters.from.cache.ms,1787281069466000000,1787281129560000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1787281069466000000,1787281129560000000,18
workspaceModel.cachedValue.total.get.ms,1787281069466000000,1787281129560000000,37
workspaceModel.cachedValue.clear.ms,1787281069466000000,1787281129560000000,0
workspaceModel.cachedValueWithParameters.clear.ms,1787281069466000000,1787281129560000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1787281069466000000,1787281129560000000,0
workspaceModel.workspaceFileIndexData.init.ms,1787281069466000000,1787281129560000000,208
workspaceModel.updates.ms,1787281069466000000,1787281129560000000,203
workspaceModel.collect.changes.ms,1787281069466000000,1787281129560000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1787281069466000000,1787281129560000000,1
workspaceModel.workspaceFileIndexData.markDirty.ms,1787281069466000000,1787281129560000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1787281069466000000,1787281129560000000,323
workspaceModel.cachedValue.calculated.ms,1787281069466000000,1787281129560000000,36
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1787281069466000000,1787281129560000000,479
workspaceModel.loading.from.cache.ms,1787281069466000000,1787281129560000000,536
workspaceModel.update.unloaded.entities.ms,1787281069466000000,1787281129560000000,0
workspaceModel.check.recursive.update.ms,1787281069466000000,1787281129560000000,2
workspaceModel.pre.handlers.ms,1787281069466000000,1787281129560000000,2
workspaceModel.initializing.ms,1787281069466000000,1787281129560000000,8
workspaceModel.workspaceFileIndexData.processFileSets.ms,1787281069466000000,1787281129560000000,0
workspaceModel.updates.count,1787281069466000000,1787281129560000000,3
workspaceModel.updates.precise.ms,1787281069466000000,1787281129560000000,37
cacheStateStorage.get.duration,1787281069466000000,1787281129560000000,1301
cacheStateStorage.get.counter,1787281069466000000,1787281129560000000,26
cacheStateStorage.set.counter,1787281069466000000,1787281129560000000,5
cacheStateStorage.set.duration,1787281069466000000,1787281129560000000,82
compiler.ArtifactManagerBridge.dropMappings.ms,1787281069466000000,1787281129560000000,0
compiler.ArtifactManagerBridge.commit.ms,1787281069466000000,1787281129560000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1787281069466000000,1787281129560000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1787281069466000000,1787281129560000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1787281069466000000,1787281129560000000,1
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1787281069466000000,1787281129560000000,2
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1787281069466000000,1787281129560000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1787281069466000000,1787281129560000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1787281069466000000,1787281129560000000,0
Indexes.allKeys.lookupDurationAvgMs,1787281069466000000,1787281129560000000,0.0
Indexes.stubs.lookupDurationAvgMs,1787281069466000000,1787281129560000000,0.0
IndexesFlusher.totalFlushesRetried,1787281069466000000,1787281129560000000,4
Indexes.allKeys.lookups,1787281069466000000,1787281129560000000,0.0
Indexes.allKeys.lookupDuration90PMs,1787281069466000000,1787281129560000000,0.0
IndexesFlusher.totalFlushes,1787281069466000000,1787281129560000000,130
Indexes.entries.lookupDurationMaxMs,1787281069466000000,1787281129560000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1787281069466000000,1787281129560000000,217
Indexes.entries.lookupDurationAvgMs,1787281069466000000,1787281129560000000,0.0
Indexes.entries.lookups,1787281069466000000,1787281129560000000,0.0
