# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.usedNativeBytes,1788311787927000000,1788311842150000000,342389376
JVM.GC.collections,1788311787927000000,1788311842150000000,21
JVM.newThreadsCount,1788311787927000000,1788311842150000000,135
JVM.maxHeapBytes,1788311787927000000,1788311842150000000,2147483648
JVM.totalCpuTimeMs,1788311787927000000,1788311842150000000,122140
JVM.maxThreadCount,1788311787927000000,1788311842150000000,122
JVM.GC.collectionTimesMs,1788311787927000000,1788311842150000000,423
OS.loadAverage,1788311787927000000,1788311842150000000,4.2646484375
JVM.threadCount,1788311787927000000,1788311842150000000,119
JVM.totalDirectByteBuffersBytes,1788311787927000000,1788311842150000000,49591048
JVM.usedHeapBytes,1788311787927000000,1788311842150000000,425591808
JVM.totalBytesAllocated,1788311787927000000,1788311842150000000,1446209856
VFS.fileChildByName,1788311787927000000,1788311842150000000,3109
VFS.fileByIdCache.hits,1788311787927000000,1788311842150000000,0
VFS.invertedFileNameIndex.requests,1788311787927000000,1788311842150000000,5
VFS.fileByIdCache.misses,1788311787927000000,1788311842150000000,79
cacheStateStorage.get.counter,1788311787927000000,1788311842150000000,23
cacheStateStorage.set.counter,1788311787927000000,1788311842150000000,5
cacheStateStorage.get.duration,1788311787927000000,1788311842150000000,1000
cacheStateStorage.set.duration,1788311787927000000,1788311842150000000,54
workspaceModel.moduleBridge.before.changed.ms,1788311787927000000,1788311842150000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1788311787927000000,1788311842150000000,916
workspaceModel.do.save.caches.ms,1788311787927000000,1788311842150000000,297
jps.app.storage.content.writer.save.component.ms,1788311787927000000,1788311842150000000,21
workspaceModel.mutableEntityStorage.resolve.ms,1788311787927000000,1788311842150000000,0
workspaceModel.mutableEntityStorage.entities.ms,1788311787927000000,1788311842150000000,1
workspaceModel.global.updates.count,1788311787927000000,1788311842150000000,1
