# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.counter,1788311524399000000,1788311556505000000,24
cacheStateStorage.set.duration,1788311524399000000,1788311556505000000,68
cacheStateStorage.set.counter,1788311524399000000,1788311556505000000,5
cacheStateStorage.get.duration,1788311524399000000,1788311556505000000,1215
Indexes.allKeys.lookupDurationAvgMs,1788311524399000000,1788311556505000000,0.0
Indexes.stubs.lookupDurationAvgMs,1788311524399000000,1788311556505000000,0.0
Indexes.entries.lookupDuration90PMs,1788311524399000000,1788311556505000000,0.0
Indexes.entries.lookups,1788311524399000000,1788311556505000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1788311524399000000,1788311556505000000,0.0
Indexes.entries.lookupDurationMaxMs,1788311524399000000,1788311556505000000,0.0
Indexes.stubs.lookupDuration90PMs,1788311524399000000,1788311556505000000,0.0
Indexes.stubs.lookupDurationMaxMs,1788311524399000000,1788311556505000000,0.0
Indexes.allKeys.lookupDuration90PMs,1788311524399000000,1788311556505000000,0.0
Indexes.allKeys.lookups,1788311524399000000,1788311556505000000,0.0
Indexes.entries.lookupDurationAvgMs,1788311524399000000,1788311556505000000,0.0
Indexes.stubs.lookups,1788311524399000000,1788311556505000000,0.0
compiler.ArtifactManagerBridge.dropMappings.ms,1788311524399000000,1788311556505000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1788311524399000000,1788311556505000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1788311524399000000,1788311556505000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1788311524399000000,1788311556505000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1788311524399000000,1788311556505000000,2
compiler.ArtifactManagerBridge.commit.ms,1788311524399000000,1788311556505000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1788311524399000000,1788311556505000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1788311524399000000,1788311556505000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1788311524399000000,1788311556505000000,13
JVM.threadCount,1788311524399000000,1788311556505000000,82
JVM.GC.collectionTimesMs,1788311524399000000,1788311556505000000,546
OS.loadAverage,1788311524399000000,1788311556505000000,4.37255859375
