# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
IndexesFlusher.totalContentionQuotaSpent,1787283463770000000,1787283523817000000,155
Indexes.stubs.lookupDuration90PMs,1787283463770000000,1787283523817000000,8.0
Indexes.allKeys.lookupDuration90PMs,1787283463770000000,1787283523817000000,0.0
Indexes.allKeys.lookups,1787283463770000000,1787283523817000000,0.0
IndexesFlusher.totalFlushingTimeUs,1787283463770000000,1787283523817000000,475849
Indexes.entries.lookupDurationAvgMs,1787283463770000000,1787283523817000000,13.0
Indexes.allKeys.lookupDurationAvgMs,1787283463770000000,1787283523817000000,0.0
IndexesFlusher.totalFlushesRetried,1787283463770000000,1787283523817000000,3
Indexes.stubs.lookupDurationMaxMs,1787283463770000000,1787283523817000000,185.0
IndexesFlusher.totalFlushes,1787283463770000000,1787283523817000000,111
Indexes.allKeys.lookupDurationMaxMs,1787283463770000000,1787283523817000000,0.0
Indexes.stubs.lookupDurationAvgMs,1787283463770000000,1787283523817000000,5.672566371681416
Indexes.entries.lookupDurationMaxMs,1787283463770000000,1787283523817000000,26.0
Indexes.stubs.lookups,1787283463770000000,1787283523817000000,113.0
Indexes.entries.lookupDuration90PMs,1787283463770000000,1787283523817000000,26.0
Indexes.entries.lookups,1787283463770000000,1787283523817000000,5.0
FlushQueue.executionTimeMaxNs,1787283463770000000,1787283523817000000,742391807
FlushQueue.tasksExecuted,1787283463770000000,1787283523817000000,1458
NonBlockingReadAction.finalizedExecutionTimeUs,1787283463770000000,1787283523817000000,1206269
ReadAction.executionsCount,1787283463770000000,1787283523817000000,99570
AWTEventQueue.dispatchTimeMaxNs,1787283463770000000,1787283523817000000,746586111
NonBlockingReadAction.finalizedExecutionsCount,1787283463770000000,1787283523817000000,31
WriteAction.executionsCount,1787283463770000000,1787283523817000000,9
FlushQueue.executionTimeAvgNs,1787283463770000000,1787283523817000000,3875012.3676268863
FlushQueue.queueSizeAvg,1787283463770000000,1787283523817000000,17.810699588477366
AWTEventQueue.dispatchTimeTotalNS,1787283463770000000,1787283523817000000,8992546320
AWTEventQueue.dispatchTime90PNs,1787283463770000000,1787283523817000000,9568255
FlushQueue.queueSizeMax,1787283463770000000,1787283523817000000,85
AWTEventQueue.eventsDispatched,1787283463770000000,1787283523817000000,1449
FlushQueue.waitingTime90PNs,1787283463770000000,1787283523817000000,717225983
AWTEventQueue.dispatchTimeAvgNs,1787283463770000000,1787283523817000000,6206170.986887509
FlushQueue.queueSize90P,1787283463770000000,1787283523817000000,51
NonBlockingReadAction.failedExecutionTimeUs,1787283463770000000,1787283523817000000,0
FlushQueue.executionTime90PNs,1787283463770000000,1787283523817000000,2359295
FlushQueue.waitingTimeMaxNs,1787283463770000000,1787283523817000000,1627389951
FlushQueue.waitingTimeAvgNs,1787283463770000000,1787283523817000000,1.7524256889986283E8
NonBlockingReadAction.failedExecutionsCount,1787283463770000000,1787283523817000000,0
OS.loadAverage,1787283463770000000,1787283523817000000,2.490234375
JVM.totalDirectByteBuffersBytes,1787283463770000000,1787283523817000000,245325477
JVM.totalCpuTimeMs,1787283463770000000,1787283523817000000,73310
JVM.maxThreadCount,1787283463770000000,1787283523817000000,125
JVM.threadCount,1787283463770000000,1787283523817000000,123
JVM.maxHeapBytes,1787283463770000000,1787283523817000000,2147483648
JVM.usedHeapBytes,1787283463770000000,1787283523817000000,233291776
JVM.GC.collectionTimesMs,1787283463770000000,1787283523817000000,279
JVM.GC.collections,1787283463770000000,1787283523817000000,23
JVM.usedNativeBytes,1787283463770000000,1787283523817000000,301662360
JVM.totalBytesAllocated,1787283463770000000,1787283523817000000,1278956848
JVM.newThreadsCount,1787283463770000000,1787283523817000000,141
VFS.invertedFileNameIndex.requests,1787283463770000000,1787283523817000000,6
VFS.fileByIdCache.hits,1787283463770000000,1787283523817000000,0
FileNameCache.totalMisses,1787283463770000000,1787283523817000000,0
VFS.fileChildByName,1787283463770000000,1787283523817000000,2047
VFS.fileByIdCache.misses,1787283463770000000,1787283523817000000,34
FileNameCache.queries,1787283463770000000,1787283523817000000,0
FilePageCacheLockFree.totalPagesReadMs,1787283463770000000,1787283523817000000,0
FilePageCacheLockFree.totalPagesWritten,1787283463770000000,1787283523817000000,0
MappedFileStorage.totalBytesMapped,1787283463770000000,1787283523817000000,202637312
FilePageCache.disposedBuffers,1787283463770000000,1787283523817000000,3
FilePageCache.pageLoads,1787283463770000000,1787283523817000000,237
StorageLockContext.competingThreads.max,1787283463770000000,1787283523817000000,8
FilePageCacheLockFree.totalClosedStoragesReclaimed,1787283463770000000,1787283523817000000,0
FilePageCacheLockFree.totalBytesRead,1787283463770000000,1787283523817000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1787283463770000000,1787283523817000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1787283463770000000,1787283523817000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1787283463770000000,1787283523817000000,11285
FilePageCacheLockFree.totalHeapBytesReclaimed,1787283463770000000,1787283523817000000,0
MappedFileStorage.totalPagesMapped,1787283463770000000,1787283523817000000,16
FilePageCache.maxCacheSizeInBytes,1787283463770000000,1787283523817000000,243286016
FilePageCache.capacityInBytes,1787283463770000000,1787283523817000000,503316478
DirectByteBufferAllocator.misses,1787283463770000000,1787283523817000000,234
FilePageCache.pageLoadsAboveSizeThreshold,1787283463770000000,1787283523817000000,0
MappedFileStorage.storages,1787283463770000000,1787283523817000000,16
FilePageCacheLockFree.totalPagesHandedOver,1787283463770000000,1787283523817000000,0
FilePageCache.pageFastCacheHits,1787283463770000000,1787283523817000000,4686
StreamlinedBlobStorage.recordsAllocated,1787283463770000000,1787283523817000000,32056
FilePageCacheLockFree.totalNativeBytesAllocated,1787283463770000000,1787283523817000000,0
FilePageCacheLockFree.totalBytesWritten,1787283463770000000,1787283523817000000,0
DirectByteBufferAllocator.reclaimed,1787283463770000000,1787283523817000000,3
