# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.GC.collections,1788311687235000000,1788311747298000000,28
OS.loadAverage,1788311687235000000,1788311747298000000,3.0556640625
JVM.maxHeapBytes,1788311687235000000,1788311747298000000,2147483648
JVM.threadCount,1788311687235000000,1788311747298000000,64
JVM.totalCpuTimeMs,1788311687235000000,1788311747298000000,118790
JVM.GC.collectionTimesMs,1788311687235000000,1788311747298000000,487
JVM.usedHeapBytes,1788311687235000000,1788311747298000000,346615832
JVM.usedNativeBytes,1788311687235000000,1788311747298000000,325584576
JVM.totalBytesAllocated,1788311687235000000,1788311747298000000,1385175552
JVM.newThreadsCount,1788311687235000000,1788311747298000000,125
JVM.maxThreadCount,1788311687235000000,1788311747298000000,116
JVM.totalDirectByteBuffersBytes,1788311687235000000,1788311747298000000,260236369
VFS.invertedFileNameIndex.requests,1788311687235000000,1788311747298000000,9
VFS.fileByIdCache.hits,1788311687235000000,1788311747298000000,0
VFS.fileByIdCache.misses,1788311687235000000,1788311747298000000,80
VFS.fileChildByName,1788311687235000000,1788311747298000000,3032
FileNameCache.totalMisses,1788311687235000000,1788311747298000000,0
FileNameCache.queries,1788311687235000000,1788311747298000000,0
writeAction.wait.ms,1788311687235000000,1788311747298000000,110
lexer.JAVA.time.ns,1788311687235000000,1788311747298000000,12331354
writeAction.median.wait.ms,1788311687235000000,1788311747298000000,0
parser.JAVA.time.ns,1788311687235000000,1788311747298000000,305074578
lexer.JAVA.size.bytes,1788311687235000000,1788311747298000000,1411
writeAction.max.wait.ms,1788311687235000000,1788311747298000000,64
parser.JAVA.size.bytes,1788311687235000000,1788311747298000000,1411
writeAction.count,1788311687235000000,1788311747298000000,9
cacheStateStorage.get.counter,1788311687235000000,1788311747298000000,23
cacheStateStorage.set.counter,1788311687235000000,1788311747298000000,3
cacheStateStorage.get.duration,1788311687235000000,1788311747298000000,1071
cacheStateStorage.set.duration,1788311687235000000,1788311747298000000,67
Indexes.entries.lookups,1788311687235000000,1788311747298000000,0.0
Indexes.stubs.lookupDurationAvgMs,1788311687235000000,1788311747298000000,0.0
Indexes.stubs.lookupDurationMaxMs,1788311687235000000,1788311747298000000,0.0
Indexes.stubs.lookupDuration90PMs,1788311687235000000,1788311747298000000,0.0
Indexes.allKeys.lookupDuration90PMs,1788311687235000000,1788311747298000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1788311687235000000,1788311747298000000,0.0
Indexes.allKeys.lookups,1788311687235000000,1788311747298000000,0.0
IndexesFlusher.totalFlushesRetried,1788311687235000000,1788311747298000000,0
Indexes.allKeys.lookupDurationMaxMs,1788311687235000000,1788311747298000000,0.0
IndexesFlusher.totalFlushes,1788311687235000000,1788311747298000000,56
IndexesFlusher.totalContentionQuotaSpent,1788311687235000000,1788311747298000000,0
Indexes.entries.lookupDuration90PMs,1788311687235000000,1788311747298000000,0.0
Indexes.stubs.lookups,1788311687235000000,1788311747298000000,0.0
Indexes.entries.lookupDurationMaxMs,1788311687235000000,1788311747298000000,0.0
Indexes.entries.lookupDurationAvgMs,1788311687235000000,1788311747298000000,0.0
IndexesFlusher.totalFlushingTimeUs,1788311687235000000,1788311747298000000,565302
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1788311687235000000,1788311747298000000,2
workspaceModel.loading.from.cache.ms,1788311687235000000,1788311747298000000,837
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1788311687235000000,1788311747298000000,68
workspaceModel.workspaceFileIndexData.init.ms,1788311687235000000,1788311747298000000,164
workspaceModel.loading.total.ms,1788311687235000000,1788311747298000000,903
workspaceModel.initializing.ms,1788311687235000000,1788311747298000000,16
workspaceModel.cachedValue.clear.ms,1788311687235000000,1788311747298000000,0
workspaceModel.cachedValue.from.cache.ms,1788311687235000000,1788311747298000000,3
workspaceModel.to.snapshot.ms,1788311687235000000,1788311747298000000,2
workspaceModel.entityStorageSnapshotImpl.instances.count,1788311687235000000,1788311747298000000,19
workspaceModel.check.recursive.update.ms,1788311687235000000,1788311747298000000,0
workspaceModel.updates.precise.ms,1788311687235000000,1788311747298000000,56
workspaceModel.workspaceFileIndexData.markDirty.ms,1788311687235000000,1788311747298000000,0
workspaceModel.update.unloaded.entities.ms,1788311687235000000,1788311747298000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1788311687235000000,1788311747298000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1788311687235000000,1788311747298000000,284
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1788311687235000000,1788311747298000000,1
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1788311687235000000,1788311747298000000,0
workspaceModel.full.replace.project.model.ms,1788311687235000000,1788311747298000000,16
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1788311687235000000,1788311747298000000,213
workspaceModel.updates.ms,1788311687235000000,1788311747298000000,223
workspaceModel.cachedValueWithParameters.calculated.ms,1788311687235000000,1788311747298000000,0
workspaceModel.replace.project.model.ms,1788311687235000000,1788311747298000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1788311687235000000,1788311747298000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1788311687235000000,1788311747298000000,2
workspaceModel.pre.handlers.ms,1788311687235000000,1788311747298000000,4
workspaceModel.cachedValue.total.get.ms,1788311687235000000,1788311747298000000,71
workspaceModel.updates.count,1788311687235000000,1788311747298000000,3
workspaceModel.cachedValue.calculated.ms,1788311687235000000,1788311747298000000,68
workspaceModel.workspaceFileIndexData.instances.count,1788311687235000000,1788311747298000000,1
workspaceModel.workspaceFileIndexData.processFileSets.ms,1788311687235000000,1788311747298000000,0
workspaceModel.collect.changes.ms,1788311687235000000,1788311747298000000,0
workspaceModel.init.bridges.ms,1788311687235000000,1788311747298000000,17
workspaceModel.cachedValueWithParameters.clear.ms,1788311687235000000,1788311747298000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1788311687235000000,1788311747298000000,12
compiler.ArtifactManagerBridge.commit.ms,1788311687235000000,1788311747298000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1788311687235000000,1788311747298000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1788311687235000000,1788311747298000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1788311687235000000,1788311747298000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1788311687235000000,1788311747298000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1788311687235000000,1788311747298000000,10
FilePageCacheLockFree.totalPagesReclaimed,1788311687235000000,1788311747298000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1788311687235000000,1788311747298000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1788311687235000000,1788311747298000000,0
DirectByteBufferAllocator.disposed,1788311687235000000,1788311747298000000,0
FilePageCache.totalPageDisposalsUs,1788311687235000000,1788311747298000000,5419
FilePageCache.maxRegisteredFiles,1788311687235000000,1788311747298000000,558
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1788311687235000000,1788311747298000000,454943
StreamlinedBlobStorage.recordsDeleted,1788311687235000000,1788311747298000000,26
MappedFileStorage.totalBytesMapped,1788311687235000000,1788311747298000000,198443008
FilePageCacheLockFree.totalPagesAllocated,1788311687235000000,1788311747298000000,0
FilePageCache.totalPageLoadsUs,1788311687235000000,1788311747298000000,1004583
FilePageCacheLockFree.totalPagesWritten,1788311687235000000,1788311747298000000,0
StorageLockContext.competingThreads.avg,1788311687235000000,1788311747298000000,0.0
FilePageCache.capacityInBytes,1788311687235000000,1788311747298000000,503316478
FilePageCache.pageLoads,1788311687235000000,1788311747298000000,251
FilePageCache.pageHits,1788311687235000000,1788311747298000000,0
DirectByteBufferAllocator.reclaimed,1788311687235000000,1788311747298000000,3
FilePageCacheLockFree.totalPagesHandedOver,1788311687235000000,1788311747298000000,0
