# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileByIdCache.misses,1787283195645000000,1787283218828000000,38
VFS.invertedFileNameIndex.requests,1787283195645000000,1787283218828000000,6
VFS.fileChildByName,1787283195645000000,1787283218828000000,1739
VFS.fileByIdCache.hits,1787283195645000000,1787283218828000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1787283195645000000,1787283218828000000,0
DirectByteBufferAllocator.reclaimed,1787283195645000000,1787283218828000000,45
FilePageCacheLockFree.totalPagesRequested,1787283195645000000,1787283218828000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1787283195645000000,1787283218828000000,0
FilePageCache.maxCacheSizeInBytes,1787283195645000000,1787283218828000000,248528896
DirectByteBufferAllocator.disposed,1787283195645000000,1787283218828000000,197
FilePageCacheLockFree.totalPagesHandedOver,1787283195645000000,1787283218828000000,0
FilePageCacheLockFree.totalBytesRequested,1787283195645000000,1787283218828000000,0
FilePageCache.capacityInBytes,1787283195645000000,1787283218828000000,503316478
DirectByteBufferAllocator.hits,1787283195645000000,1787283218828000000,3
FilePageCache.disposedBuffers,1787283195645000000,1787283218828000000,242
FilePageCacheLockFree.totalPageAllocationsWaited,1787283195645000000,1787283218828000000,0
FilePageCache.uncachedFileAccess,1787283195645000000,1787283218828000000,132
StorageLockContext.competingThreads.max,1787283195645000000,1787283218828000000,4
FilePageCache.maxRegisteredFiles,1787283195645000000,1787283218828000000,555
FilePageCacheLockFree.heapBytesInUse,1787283195645000000,1787283218828000000,0
FilePageCacheLockFree.totalPagesWriteMs,1787283195645000000,1787283218828000000,0
FilePageCacheLockFree.nativeBytesInUse,1787283195645000000,1787283218828000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1787283195645000000,1787283218828000000,41959424
FilePageCacheLockFree.totalPagesWritten,1787283195645000000,1787283218828000000,0
FilePageCache.pageLoads,1787283195645000000,1787283218828000000,242
StorageLockContext.competingThreads.90P,1787283195645000000,1787283218828000000,0
FilePageCache.pageFastCacheHits,1787283195645000000,1787283218828000000,5581
StorageLockContext.competingThreads.avg,1787283195645000000,1787283218828000000,0.08888888888888889
FilePageCacheLockFree.totalBytesRead,1787283195645000000,1787283218828000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1787283195645000000,1787283218828000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1787283195645000000,1787283218828000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1787283195645000000,1787283218828000000,0
FilePageCacheLockFree.totalPagesReclaimed,1787283195645000000,1787283218828000000,0
FilePageCache.pageHits,1787283195645000000,1787283218828000000,58
FilePageCacheLockFree.totalPagesAllocated,1787283195645000000,1787283218828000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1787283195645000000,1787283218828000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1787283195645000000,1787283218828000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1787283195645000000,1787283218828000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1787283195645000000,1787283218828000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1787283195645000000,1787283218828000000,41959424
FilePageCache.totalPageDisposalsUs,1787283195645000000,1787283218828000000,9976
FilePageCacheLockFree.totalPagesRequestsMs,1787283195645000000,1787283218828000000,0
FilePageCacheLockFree.totalBytesWritten,1787283195645000000,1787283218828000000,0
FilePageCacheLockFree.totalPagesReadMs,1787283195645000000,1787283218828000000,0
