# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1787282715216000000,1787282775366000000,0
workspaceModel.updates.count,1787282715216000000,1787282775366000000,3
workspaceModel.workspaceFileIndexData.getPackageName.ms,1787282715216000000,1787282775366000000,13
workspaceModel.init.bridges.ms,1787282715216000000,1787282775366000000,6
workspaceModel.update.unloaded.entities.ms,1787282715216000000,1787282775366000000,0
workspaceModel.workspaceFileIndexData.instances.count,1787282715216000000,1787282775366000000,1
workspaceModel.cachedValueWithParameters.clear.ms,1787282715216000000,1787282775366000000,0
workspaceModel.cachedValue.calculated.ms,1787282715216000000,1787282775366000000,61
workspaceModel.entityStorageSnapshotImpl.instances.count,1787282715216000000,1787282775366000000,19
workspaceModel.pre.handlers.ms,1787282715216000000,1787282775366000000,1
workspaceModel.full.replace.project.model.ms,1787282715216000000,1787282775366000000,16
workspaceModel.check.recursive.update.ms,1787282715216000000,1787282775366000000,2
workspaceModel.workspaceFileIndexData.init.ms,1787282715216000000,1787282775366000000,174
workspaceModel.updates.precise.ms,1787282715216000000,1787282775366000000,21
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1787282715216000000,1787282775366000000,666
workspaceModel.initializing.ms,1787282715216000000,1787282775366000000,6
workspaceModel.to.snapshot.ms,1787282715216000000,1787282775366000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1787282715216000000,1787282775366000000,1
workspaceModel.workspaceFileIndexData.markDirty.ms,1787282715216000000,1787282775366000000,0
workspaceModel.cachedValueWithParameters.calculated.ms,1787282715216000000,1787282775366000000,0
workspaceModel.collect.changes.ms,1787282715216000000,1787282775366000000,0
workspaceModel.replace.project.model.ms,1787282715216000000,1787282775366000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1787282715216000000,1787282775366000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1787282715216000000,1787282775366000000,5
workspaceModel.workspaceFileIndexData.processFileSets.ms,1787282715216000000,1787282775366000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1787282715216000000,1787282775366000000,0
workspaceModel.cachedValue.clear.ms,1787282715216000000,1787282775366000000,0
workspaceModel.loading.from.cache.ms,1787282715216000000,1787282775366000000,762
workspaceModel.cachedValue.from.cache.ms,1787282715216000000,1787282775366000000,1
workspaceModel.updates.ms,1787282715216000000,1787282775366000000,144
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1787282715216000000,1787282775366000000,261
workspaceModel.loading.total.ms,1787282715216000000,1787282775366000000,819
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1787282715216000000,1787282775366000000,346
workspaceModel.cachedValue.total.get.ms,1787282715216000000,1787282775366000000,62
VFS.fileByIdCache.misses,1787282715216000000,1787282775366000000,34
FileNameCache.totalMisses,1787282715216000000,1787282775366000000,0
VFS.fileByIdCache.hits,1787282715216000000,1787282775366000000,0
FileNameCache.queries,1787282715216000000,1787282775366000000,0
VFS.fileChildByName,1787282715216000000,1787282775366000000,1669
VFS.invertedFileNameIndex.requests,1787282715216000000,1787282775366000000,6
FlushQueue.queueSizeAvg,1787282715216000000,1787282775366000000,26.478566408995082
FlushQueue.waitingTimeAvgNs,1787282715216000000,1787282775366000000,3.964068531159522E8
ReadAction.executionsCount,1787282715216000000,1787282775366000000,96013
FlushQueue.waitingTime90PNs,1787282715216000000,1787282775366000000,964689919
FlushQueue.waitingTimeMaxNs,1787282715216000000,1787282775366000000,4395630591
NonBlockingReadAction.failedExecutionsCount,1787282715216000000,1787282775366000000,2
NonBlockingReadAction.finalizedExecutionTimeUs,1787282715216000000,1787282775366000000,1863019
FlushQueue.executionTimeAvgNs,1787282715216000000,1787282775366000000,9620857.085031623
FlushQueue.tasksExecuted,1787282715216000000,1787282775366000000,1423
FlushQueue.executionTime90PNs,1787282715216000000,1787282775366000000,5308415
AWTEventQueue.dispatchTimeTotalNS,1787282715216000000,1787282775366000000,18936649683
FlushQueue.queueSizeMax,1787282715216000000,1787282775366000000,88
AWTEventQueue.eventsDispatched,1787282715216000000,1787282775366000000,942
FlushQueue.queueSize90P,1787282715216000000,1787282775366000000,64
NonBlockingReadAction.failedExecutionTimeUs,1787282715216000000,1787282775366000000,984907
NonBlockingReadAction.finalizedExecutionsCount,1787282715216000000,1787282775366000000,22
AWTEventQueue.dispatchTime90PNs,1787282715216000000,1787282775366000000,29229055
FlushQueue.executionTimeMaxNs,1787282715216000000,1787282775366000000,2248146943
AWTEventQueue.dispatchTimeMaxNs,1787282715216000000,1787282775366000000,2248146943
WriteAction.executionsCount,1787282715216000000,1787282775366000000,10
AWTEventQueue.dispatchTimeAvgNs,1787282715216000000,1787282775366000000,2.0101798522292994E7
JVM.newThreadsCount,1787282715216000000,1787282775366000000,134
JVM.GC.collections,1787282715216000000,1787282775366000000,23
OS.loadAverage,1787282715216000000,1787282775366000000,7.02392578125
JVM.usedHeapBytes,1787282715216000000,1787282775366000000,297710592
JVM.GC.collectionTimesMs,1787282715216000000,1787282775366000000,630
JVM.totalDirectByteBuffersBytes,1787282715216000000,1787282775366000000,246315680
JVM.totalCpuTimeMs,1787282715216000000,1787282775366000000,117360
JVM.maxHeapBytes,1787282715216000000,1787282775366000000,2147483648
JVM.totalBytesAllocated,1787282715216000000,1787282775366000000,1256080632
JVM.threadCount,1787282715216000000,1787282775366000000,117
JVM.maxThreadCount,1787282715216000000,1787282775366000000,118
JVM.usedNativeBytes,1787282715216000000,1787282775366000000,284560256
FilePageCacheLockFree.totalPageAllocationsWaited,1787282715216000000,1787282775366000000,0
StreamlinedBlobStorage.recordsRelocated,1787282715216000000,1787282775366000000,0
FilePageCacheLockFree.nativeBytesInUse,1787282715216000000,1787282775366000000,0
DirectByteBufferAllocator.misses,1787282715216000000,1787282775366000000,234
FilePageCacheLockFree.totalBytesWritten,1787282715216000000,1787282775366000000,0
FilePageCache.pageLoads,1787282715216000000,1787282775366000000,237
StorageLockContext.competingThreads.max,1787282715216000000,1787282775366000000,3
FilePageCache.maxRegisteredFiles,1787282715216000000,1787282775366000000,555
MappedFileStorage.totalTimeSpentOnMappingUs,1787282715216000000,1787282775366000000,38737
DirectByteBufferAllocator.disposed,1787282715216000000,1787282775366000000,0
FilePageCacheLockFree.heapBytesInUse,1787282715216000000,1787282775366000000,0
DirectByteBufferAllocator.hits,1787282715216000000,1787282775366000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1787282715216000000,1787282775366000000,243286016
FilePageCache.totalPageDisposalsUs,1787282715216000000,1787282775366000000,6150
FilePageCache.totalPageLoadsUs,1787282715216000000,1787282775366000000,1197151
FilePageCache.uncachedFileAccess,1787282715216000000,1787282775366000000,130
FilePageCacheLockFree.totalHeapBytesAllocated,1787282715216000000,1787282775366000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1787282715216000000,1787282775366000000,0
FilePageCacheLockFree.totalPagesWriteMs,1787282715216000000,1787282775366000000,0
FilePageCacheLockFree.totalPagesReclaimed,1787282715216000000,1787282775366000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1787282715216000000,1787282775366000000,0
StorageLockContext.competingThreads.avg,1787282715216000000,1787282775366000000,0.044642857142857144
FilePageCache.maxCacheSizeInBytes,1787282715216000000,1787282775366000000,243286016
FilePageCacheLockFree.totalPagesReadMs,1787282715216000000,1787282775366000000,0
MappedFileStorage.storages,1787282715216000000,1787282775366000000,16
FilePageCacheLockFree.totalBytesRequested,1787282715216000000,1787282775366000000,0
MappedFileStorage.totalBytesMapped,1787282715216000000,1787282775366000000,202637312
FilePageCacheLockFree.housekeeperTurnsDone,1787282715216000000,1787282775366000000,0
FilePageCache.capacityInBytes,1787282715216000000,1787282775366000000,503316478
FilePageCacheLockFree.totalPagesAllocated,1787282715216000000,1787282775366000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1787282715216000000,1787282775366000000,0
FilePageCache.pageFastCacheHits,1787282715216000000,1787282775366000000,4653
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1787282715216000000,1787282775366000000,2290960
FilePageCacheLockFree.totalPagesWritten,1787282715216000000,1787282775366000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1787282715216000000,1787282775366000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1787282715216000000,1787282775366000000,0
FilePageCache.disposedBuffers,1787282715216000000,1787282775366000000,3
DirectByteBufferAllocator.reclaimed,1787282715216000000,1787282775366000000,3
FilePageCache.pageHits,1787282715216000000,1787282775366000000,0
StreamlinedBlobStorage.recordsAllocated,1787282715216000000,1787282775366000000,32033
FilePageCacheLockFree.housekeeperTurnsSkipped,1787282715216000000,1787282775366000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1787282715216000000,1787282775366000000,0
FilePageCacheLockFree.totalPagesRequested,1787282715216000000,1787282775366000000,0
MappedFileStorage.totalPagesMapped,1787282715216000000,1787282775366000000,16
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1787282715216000000,1787282775366000000,453813
FilePageCacheLockFree.totalBytesRead,1787282715216000000,1787282775366000000,0
StorageLockContext.competingThreads.90P,1787282715216000000,1787282775366000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1787282715216000000,1787282775366000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1787282715216000000,1787282775366000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1787282715216000000,1787282775366000000,0
FilePageCacheLockFree.totalPagesHandedOver,1787282715216000000,1787282775366000000,0
StreamlinedBlobStorage.recordsDeleted,1787282715216000000,1787282775366000000,22
cacheStateStorage.get.duration,1787282715216000000,1787282775366000000,1740
cacheStateStorage.set.counter,1787282715216000000,1787282775366000000,3
cacheStateStorage.set.duration,1787282715216000000,1787282775366000000,88
cacheStateStorage.get.counter,1787282715216000000,1787282775366000000,26
writeAction.wait.ms,1787282715216000000,1787282775366000000,53
parser.textmate.time.ns,1787282715216000000,1787282775366000000,408783
writeAction.median.wait.ms,1787282715216000000,1787282775366000000,0
lexer.textmate.size.bytes,1787282715216000000,1787282775366000000,0
parser.JAVA.time.ns,1787282715216000000,1787282775366000000,718377759
writeAction.count,1787282715216000000,1787282775366000000,10
parser.textmate.size.bytes,1787282715216000000,1787282775366000000,0
lexer.JAVA.time.ns,1787282715216000000,1787282775366000000,13027941
writeAction.max.wait.ms,1787282715216000000,1787282775366000000,32
lexer.textmate.time.ns,1787282715216000000,1787282775366000000,40360
parser.JAVA.size.bytes,1787282715216000000,1787282775366000000,778
lexer.JAVA.size.bytes,1787282715216000000,1787282775366000000,778
Indexes.stubs.lookupDurationMaxMs,1787282715216000000,1787282775366000000,153.0
Indexes.stubs.lookupDuration90PMs,1787282715216000000,1787282775366000000,10.0
Indexes.allKeys.lookupDuration90PMs,1787282715216000000,1787282775366000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1787282715216000000,1787282775366000000,0.0
IndexesFlusher.totalFlushesRetried,1787282715216000000,1787282775366000000,4
Indexes.allKeys.lookupDurationMaxMs,1787282715216000000,1787282775366000000,0.0
Indexes.stubs.lookups,1787282715216000000,1787282775366000000,95.0
IndexesFlusher.totalContentionQuotaSpent,1787282715216000000,1787282775366000000,220
Indexes.entries.lookups,1787282715216000000,1787282775366000000,7.0
Indexes.stubs.lookupDurationAvgMs,1787282715216000000,1787282775366000000,6.6947368421052635
Indexes.entries.lookupDurationAvgMs,1787282715216000000,1787282775366000000,11.428571428571429
Indexes.entries.lookupDuration90PMs,1787282715216000000,1787282775366000000,42.0
Indexes.entries.lookupDurationMaxMs,1787282715216000000,1787282775366000000,42.0
IndexesFlusher.totalFlushes,1787282715216000000,1787282775366000000,57
IndexesFlusher.totalFlushingTimeUs,1787282715216000000,1787282775366000000,774635
Indexes.allKeys.lookups,1787282715216000000,1787282775366000000,0.0
jps.artifact.entities.serializer.load.entities.ms,1787282715216000000,1787282775366000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1787282715216000000,1787282775366000000,3
jps.module.iml.entities.serializer.save.entities.ms,1787282715216000000,1787282775366000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1787282715216000000,1787282775366000000,0
jps.project.serializers.save.ms,1787282715216000000,1787282775366000000,0
workspaceModel.global.updates.ms,1787282715216000000,1787282775366000000,43
workspaceModel.mutableEntityStorage.replace.by.source.ms,1787282715216000000,1787282775366000000,27
workspaceModel.load.cache.from.file.ms,1787282715216000000,1787282775366000000,824
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1787282715216000000,1787282775366000000,0
jps.apply.loaded.storage.ms,1787282715216000000,1787282775366000000,44
workspaceModel.mutableEntityStorage.instances.count,1787282715216000000,1787282775366000000,27
workspaceModel.load.cache.metadata.from.file.ms,1787282715216000000,1787282775366000000,113
jps.global.get.library.by.name.ms,1787282715216000000,1787282775366000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1787282715216000000,1787282775366000000,64
jps.reload.project.entities.ms,1787282715216000000,1787282775366000000,0
jps.app.storage.content.reader.load.component.ms,1787282715216000000,1787282775366000000,43
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1787282715216000000,1787282775366000000,21
jps.module.iml.entities.serializer.load.entities.ms,1787282715216000000,1787282775366000000,80
workspaceModel.global.apply.state.to.project.ms,1787282715216000000,1787282775366000000,172
workspaceModel.moduleManagerBridge.load.module.ms,1787282715216000000,1787282775366000000,0
workspaceModel.sync.entities.ms,1787282715216000000,1787282775366000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1787282715216000000,1787282775366000000,332
jps.global.get.library.ms,1787282715216000000,1787282775366000000,0
workspaceModel.moduleBridge.update.option.ms,1787282715216000000,1787282775366000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1787282715216000000,1787282775366000000,0
workspaceModel.save.cache.to.file.ms,1787282715216000000,1787282775366000000,812
workspaceModel.global.apply.state.to.project.builder.ms,1787282715216000000,1787282775366000000,10
jps.facet.change.listener.before.change.events.ms,1787282715216000000,1787282775366000000,1
