# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.totalBytesAllocated,1787285088830000000,1787285124233000000,1249605840
JVM.maxHeapBytes,1787285088830000000,1787285124233000000,2147483648
JVM.usedNativeBytes,1787285088830000000,1787285124233000000,306205696
OS.loadAverage,1787285088830000000,1787285124233000000,4.7666015625
JVM.totalDirectByteBuffersBytes,1787285088830000000,1787285124233000000,46103794
JVM.usedHeapBytes,1787285088830000000,1787285124233000000,508559360
JVM.newThreadsCount,1787285088830000000,1787285124233000000,180
JVM.totalCpuTimeMs,1787285088830000000,1787285124233000000,86890
JVM.GC.collections,1787285088830000000,1787285124233000000,20
JVM.maxThreadCount,1787285088830000000,1787285124233000000,170
JVM.threadCount,1787285088830000000,1787285124233000000,156
JVM.GC.collectionTimesMs,1787285088830000000,1787285124233000000,329
AWTEventQueue.dispatchTimeTotalNS,1787285088830000000,1787285124233000000,15734172270
NonBlockingReadAction.failedExecutionTimeUs,1787285088830000000,1787285124233000000,394
NonBlockingReadAction.finalizedExecutionTimeUs,1787285088830000000,1787285124233000000,1528647
NonBlockingReadAction.failedExecutionsCount,1787285088830000000,1787285124233000000,1
NonBlockingReadAction.finalizedExecutionsCount,1787285088830000000,1787285124233000000,28
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1787285088830000000,1787285124233000000,7
workspaceModel.workspaceFileIndexData.instances.count,1787285088830000000,1787285124233000000,1
workspaceModel.full.replace.project.model.ms,1787285088830000000,1787285124233000000,149
workspaceModel.workspaceFileIndexData.getPackageName.ms,1787285088830000000,1787285124233000000,5
workspaceModel.cachedValueWithParameters.from.cache.ms,1787285088830000000,1787285124233000000,0
workspaceModel.updates.ms,1787285088830000000,1787285124233000000,118
workspaceModel.to.snapshot.ms,1787285088830000000,1787285124233000000,0
workspaceModel.update.unloaded.entities.ms,1787285088830000000,1787285124233000000,0
workspaceModel.pre.handlers.ms,1787285088830000000,1787285124233000000,1
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1787285088830000000,1787285124233000000,137
workspaceModel.collect.changes.ms,1787285088830000000,1787285124233000000,0
